Year,Antlered Harvest,Antlerless Harvest,Total Deer,Bear Harvest,Spring Turkey Harvest,Fall Turkey Harvest
1915,1287,0,1287,188,0,3651
1916,1722,0,1722,435,0,4991
1917,1725,0,1725,368,0,2950
1918,1754,0,1754,387,0,2751
1919,2939,0,2939,472,0,5181
1920,3300,0,3300,420,0,3000
1921,4840,0,4840,510,0,4654
1922,6115,0,6115,563,0,5431
1923,6452,8,6460,500,0,6049
1924,7778,126,7904,929,0,2331
1925,7287,1029,8316,470,0,3241
1926,11646,1295,12941,660,0,0
1927,14374,0,14374,321,0,4070
1928,0,25097,25097,427,0,2362
1929,22822,0,22822,447,0,3834
1930,20115,5979,26294,707,0,2374
1931,24796,70255,95051,501,0,4038
1932,19724,0,19724,216,0,2992
1933,20480,0,20480,586,0,3510
1934,21137,0,21137,0,0,4167
1935,23802,46668,70470,402,0,4498
1936,18804,0,18084,356,0,3208
1937,39347,0,39347,537,0,6619
1938,0,171662,171662,384,0,6766
1939,49106,14581,63687,535,0,5191
1940,40995,145580,186575,524,0,5218
1941,19271,0,19271,593,0,3911
1942,30860,0,30860,149,0,3938
1943,23931,14951,38882,307,0,2297
1944,28411,0,28411,295,0,2849
1945,24575,1085,25660,366,0,1716
1946,31110,4209,35319,325,0,2518
1947,31475,63568,95043,569,0,3751
1948,33608,0,33608,388,0,4318
1949,46602,84121,130723,411,0,6885
1950,23302,31515,54817,354,0,5278
1951,34582,37952,72534,429,0,8962
1952,27164,37829,64993,261,0,9227
1953,37384,16252,53636,303,0,14604
1954,40915,0,40915,403,0,16202
1955,45044,41111,86155,335,0,17994
1956,41921,0,41921,335,0,14481
1957,49254,55862,105116,294,0,16156
1958,46738,65187,111925,439,0,13008
1959,38270,51902,90172,296,0,15228
1960,38776,29887,68663,392,0,14920
1961,38705,17327,56032,237,0,17312
1962,42266,30647,72913,554,0,15775
1963,48204,36212,84416,280,0,13608
1964,49231,41903,91134,526,0,13679
1965,65150,34638,99788,347,0,15000
1966,58722,60031,118753,605,0,20000
1967,78268,66147,144415,568,0,23000
1968,62038,79836,141874,218,1636,18000
1969,59923,56761,116684,295,2128,21000
1970,53350,46336,99686,0,1563,22000
1971,55602,48625,104227,488,7033,25798
1972,62633,44582,107215,370,400,35984
1973,70316,56575,126891,299,0,0
1974,70689,54963,125652,223,0,0
1975,71986,66209,138195,388,7683,23050
1976,64084,57949,122033,605,10536,26483
1977,74879,71199,146078,0,8765,29464
1978,61698,59543,121241,0,7735,24300
1979,58864,55930,114794,736,9066,18772
1980,73196,62281,135477,921,19266,30173
1981,73322,75208,148530,819,11115,26794
1982,72113,66109,138222,588,12804,29848
1983,70233,66060,136293,1529,10852,20494
1984,76500,63680,140180,1547,9723,15844
1985,76097,85331,161428,1029,14197,18217
1986,150359,149655,300014,1362,16155,26763
1987,157547,177242,334789,1556,14674,28346
1988,163106,218293,381399,1614,14659,22515
1989,169795,218806,388601,2213,17154,21669
1990,170101,245460,415561,1200,17472,25527
1991,149598,238417,388015,1687,16606,31979
1992,163159,198065,361224,1589,18180,21468
1993,165214,243343,408557,1790,24068,30477
1994,157030,238051,395081,1365,28558,39094
1995,182235,248348,430583,2190,36401,49748
1996,153432,197565,350997,1796,33726,35787
1997,176677,220339,397016,2110,30956,37398
1998,181449,196040,377489,2598,32661,33628
1999,194368,184224,378592,1740,37808,40721
2000,203221,301379,504600,3075,43815,44865
2001,203247,282767,486014,3063,49186,48008
2002,165416,352113,517529,2686,41147,37346
2003,142270,322620,464890,3000,42876,31100
2004,124410,284910,409320,2976,0,0
2005,120500,233890,354390,4164,32593,25173
2006,135290,226270,361560,3124,39339,24482
2007,109200,213870,323070,2362,37992,25369
2008,122410,213440,335850,3458,42437,24288
2009,108330,200590,308920,3512,44639,20934
2010,122930,193310,316240,3090,33876,16059
2011,127540,208660,336200,4350,35015,14383
2012,133860,209250,343110,0,35392,14904
2013,134280,218640,352920,0,34158,0
2014,119260,184713,303973,0,34158,0
2015,137580,178233,315813,0,34158,0
